performanceRoleId;compositionRoleId;performanceId;personId
5379532;5379513;5379528;5246659
5379534;5379515;5379528;5257642
5379529;5379510;5379528;5247283
5379535;5379516;5379528;5247277
5379531;5379512;5379528;5247279
5379530;5379511;5379528;5247274
5379533;5379514;5379528;5247400
5379526;5379515;5379518;5257642
5379523;5379512;5379518;5247279
5379525;5379514;5379518;5247400
5379527;5379516;5379518;5247277
5379524;5379513;5379518;5246659
5379521;5379510;5379518;5247283
5379522;5379511;5379518;5247274
5379549;5379515;5379543;5257642
5379546;5379512;5379543;5247279
5379544;5379510;5379543;5247283
5379547;5379513;5379543;5246659
5379548;5379514;5379543;5247400
5379545;5379511;5379543;5247274
5379550;5379516;5379543;5247277
5722732;5227696;5227699;5222587
5722733;5227697;5227699;5227755
5722724;5227688;5227699;5227670
5722731;5227695;5227699;3630274
5722728;5227692;5227699;5227666
5722725;5227689;5227699;977257
5722730;5227694;5227699;5227729
5722723;5227687;5227699;5222521
5722727;5227691;5227699;5224343
5722734;5227698;5227699;5227757
5722726;5227690;5227699;881262
5722729;5227693;5227699;5227668
15866340;5227698;15866328;5227757
15866332;5227690;15866328;881262
15866339;5227697;15866328;5239781
15866333;5227691;15866328;5224343
15866338;5227696;15866328;5222587
15866334;5227692;15866328;5227666
15866331;5227689;15866328;977257
15866335;5227693;15866328;5227668
15866330;5227688;15866328;5227670
15866336;5227694;15866328;5227729
15866329;5227687;15866328;5222521
15866337;5227695;15866328;3630274
23454467;5227689;5228877;977257
23454468;5227690;5228877;881262
23454471;5227693;5228877;5227668
23454470;5227692;5228877;5227666
23454473;5227698;5228877;5227757
23454466;5227688;5228877;5227670
23454469;5227691;5228877;5224343
23454472;5227694;5228877;5227729
5722838;5227698;5325621;5227757
5722831;5227690;5325621;881262
5722833;5227692;5325621;5227666
5722840;5325635;5325621;5222587
5722830;5227689;5325621;977257
5722829;5227688;5325621;5227670
5722839;5325634;5325621;5227673
5722835;5227694;5325621;5325665
5722837;5227697;5325621;5227755
5722836;5227695;5325621;3630274
5722828;5227687;5325621;5222521
5722834;5227693;5325621;5227668
5722832;5227691;5325621;5224343
15284425;4551947;5849759;5519937
15284423;4551945;5849759;4558514
15284420;4551941;5849759;5849702
15284422;4551943;5849759;4566177
15284424;4551946;5849759;4558522
15284421;4551942;5849759;4552076
15284440;4551943;5849790;4566177
15284441;4551945;5849790;4558514
15284442;4551946;5849790;4558522
15284443;4551947;5849790;5519937
15284439;4551942;5849790;4552076
15284438;4551941;5849790;5849702
15284429;4551945;5849763;4558514
15284428;4551943;5849763;4566177
15284430;4551946;5849763;4558522
15284426;4551941;5849763;5849702
15284427;4551942;5849763;4552076
15284431;4551947;5849763;5519937
4551969;4551941;4551949;4550706
4551973;4551945;4551949;4550648
4551970;4551942;4551949;4550651
4551971;4551943;4551949;4550708
4551974;4551946;4551949;4550710
4551976;4551948;4551949;4550714
4551972;4551944;4551949;4550661
4551975;4551947;4551949;4550712
15284904;4551943;15284444;15284900
15284905;4551945;15284444;4558514
15284908;4551948;15284444;15284449
15284906;4551946;15284444;5961821
15284907;4551947;15284444;4679984
15284902;4551941;15284444;15284898
15284903;4551942;15284444;4692118
15284415;4551942;5849744;4552076
15284419;4551947;5849744;5519937
15284417;4551945;5849744;4558514
15284418;4551946;5849744;4558522
15284416;4551943;5849744;4566177
15284414;4551941;5849744;5849702
15284917;4551946;15284912;5961821
15284913;4551941;15284912;15284898
15284914;4551942;15284912;4692118
15284919;4551948;15284912;15284449
15284916;4551945;15284912;4558514
15284918;4551947;15284912;4679984
15284915;4551943;15284912;15284900
15284932;4551945;15284928;4558514
15284930;4551942;15284928;4692118
15284931;4551943;15284928;15284900
15284929;4551941;15284928;15284898
15284935;4551948;15284928;15284449
15284933;4551946;15284928;5961821
15284934;4551947;15284928;4679984
15284436;4551946;5849769;4558522
15284432;4551941;5849769;5849702
15284435;4551945;5849769;4558514
15284437;4551947;5849769;5519937
15284433;4551942;5849769;4552076
15284434;4551943;5849769;4566177
15284921;4551941;15284920;15284898
15284925;4551946;15284920;5961821
15284923;4551943;15284920;15284900
15284922;4551942;15284920;4692118
15284924;4551945;15284920;4558514
15284927;4551948;15284920;15284449
15284926;4551947;15284920;4679984
15284412;4551946;5849602;4558522
15284410;4551943;5849602;4566177
15284408;4551941;5849602;5849702
15284413;4551947;5849602;5519937
15284409;4551942;5849602;4552076
15284411;4551945;5849602;4558514
15284941;4551946;15284936;5961821
15284943;4551948;15284936;15284449
15284938;4551942;15284936;4692118
15284942;4551947;15284936;4679984
15284940;4551945;15284936;4558514
15284939;4551943;15284936;15284900
15284937;4551941;15284936;15284898
14322601;14322593;14322586;14319746
14322605;14322597;14322586;14318972
14322602;14322594;14322586;14318964
14322600;14322592;14322586;14320760
14322606;14322598;14322586;14318978
14322604;14322596;14322586;14318966
14322603;14322595;14322586;13388604
23493656;3582989;3584132;3584114
23493659;3582992;3584132;3582464
23493661;3582994;3584132;3559318
23493658;3582991;3584132;3566447
23493662;3582995;3584132;3561877
23493650;3582983;3584132;3582456
23493648;3582981;3584132;3576691
23493655;3582988;3584132;3578006
23493660;3582993;3584132;3582451
23493652;3582985;3584132;3569216
23493653;3582986;3584132;3576378
23493651;3582984;3584132;3582478
23493649;3582982;3584132;3561880
23493657;3582990;3584132;3584106
23493654;3582987;3584132;3558528
23493709;3582994;3584148;3559318
23493700;3582985;3584148;3569216
23493696;3582981;3584148;3576691
23493703;3582988;3584148;3578006
23493701;3582986;3584148;3576378
23493702;3582987;3584148;3558528
23493710;3582995;3584148;3561877
23493708;3582993;3584148;3582451
23493705;3582990;3584148;3584106
23493704;3582989;3584148;3584114
23493697;3582982;3584148;3561880
23493707;3582992;3584148;3582464
23493698;3582983;3584148;3582456
23493706;3582991;3584148;3566447
23493699;3582984;3584148;3582478
23492859;3582987;3584087;3558528
23492861;3582989;3584087;3584114
23492866;3582994;3584087;3559318
23492863;3582991;3584087;3566447
23492854;3582982;3584087;3561880
23492855;3582983;3584087;3582456
23492853;3582981;3584087;3576691
23492858;3582986;3584087;3576378
23492856;3582984;3584087;3582478
23492860;3582988;3584087;3578006
23492857;3582985;3584087;3569216
23492864;3582992;3584087;3582464
23492865;3582993;3584087;3582451
23492867;3582995;3584087;3561877
23492862;3582990;3584087;3584106
